Unnamed: 0,fire_name,fire_size,fire_size_class,stat_cause_descr,latitude,longitude,state,disc_clean_date,cont_clean_date,discovery_month,disc_date_final,cont_date_final,putout_time,disc_date_pre,disc_pre_year,disc_pre_month,wstation_usaf,dstation_m,wstation_wban,wstation_byear,wstation_eyear,Vegetation,fire_mag,weather_file,Temp_pre_30,Temp_pre_15,Temp_pre_7,Temp_cont,Wind_pre_30,Wind_pre_15,Wind_pre_7,Wind_cont,Hum_pre_30,Hum_pre_15,Hum_pre_7,Hum_cont,Prec_pre_30,Prec_pre_15,Prec_pre_7,Prec_cont,remoteness
44499,IT JUMPED THE ROAD,60,C,Equipment Use,34.9833,-79.4667,NC,4/10/01,,Apr,,,,3/11/01,2001,Mar,723109,23132.93906,93782,1973,2020,16,1,723109-99999-2001.gz,12.75876578,13.65915493,17.91017964,18.15893108,3.562412342,3.336338028,3.339520958,3.44756447,63.52663623,65.25382263,69.70909091,60.93993994,25.2,0.5,0.5,10.9,0.111537919
44524,REGAN CHURCH. RD.,8,B,Arson,34.65,-78.8667,NC,12/3/02,,Dec,,,,11/3/02,2002,Nov,723108,18183.1144,99999,2000,2004,16,0.1,723108-13776-2002.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106471675
44547,VILLANOW RD. FIRE,1.2,B,Equipment Use,35.3983,-79.2717,NC,4/12/96,,Apr,,,,3/13/96,1996,Mar,723143,20946.91819,99999,1973,2010,15,0.1,723143-99999-1996.gz,10.08213783,9.935211268,9.227380952,19.10644258,3.46371308,3.185915493,3.120238095,3.943417367,53.14767932,54.53802817,47.7797619,54.07142857,0,0,0,0,0.109565651
44570,WATER TANK FIRE,0.6,B,Debris Burning,35.52801666,-82.71281666,NC,2/22/14,2/22/14,Feb,2/22/14 16:00,2/22/14 18:30,0 days 00:00:00.000000000,1/23/14,2014,Jan,723144,71456.74561,53890,2009,2020,15,0.1,723144-53890-2014.gz,4.310881543,6.444424297,9.553598485,0,1.957280661,1.937114338,2.015749526,0,59.3553563,65.24469067,59.57874016,0,43.6,30.4,12.2,0,0.139966257
44583,BOONE RD,1,B,Arson,34.6583,-79.0583,NC,10/31/98,,Oct,,,,10/1/98,1998,Oct,723108,5580.342974,13776,1959,1999,16,0.1,723108-13776-1998.gz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108149924
44602,OLD PHILLIPS ROAD FIRE,1,B,Children,36.315,-80.425,NC,4/4/96,,Apr,,,,3/5/96,1996,Mar,723177,19768.12012,63807,1945,2020,0,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1191905
44624,,1,B,Debris Burning,35.0417,-80.725,NC,6/7/93,,Jun,,,,5/8/93,1993,May,723194,9907.14134,99999,1990,2010,15,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.122607496
44639,BETTY'S LANE,12,C,Arson,34.75,-79.1167,NC,2/25/03,,Feb,,,,1/26/03,2003,Jan,723108,16406.33863,99999,2000,2004,16,1,723108-99999-2003.gz,6.681137725,7.443113772,9.113333333,12.31314623,3.077994012,3.161377246,3.010666667,3.153994083,65.30489731,72.00316456,77.07194245,74.38833333,49.4,38.6,0.5,176.5,0.108605176
44656,,5,B,Missing/Undefined,34.83061,-79.69973,NC,7/4/07,,Jul,,,,6/4/07,2007,Jun,722043,8589.754463,99999,2006,2020,16,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.113686257
44678,COW PILE GULCH,12.5,C,Debris Burning,36.43183333,-80.06816667,NC,12/20/13,12/20/13,Dec,12/20/13 18:20,12/20/13 18:59,0 days 00:00:00.000000000,11/20/13,2013,Nov,745985,22788.66883,99999,2006,2020,0,1,745985-63806-2013.gz,4.373376927,4.924600939,2.743650794,0,1.516448598,1.411184211,1.165674603,0,72.91728972,76.30169173,69.37698413,0,141,52.9,16.3,0,0.115971867
44690,ROSEWOOD FIRE,1,B,Missing/Undefined,36.01426667,-82.07616667,NC,2/16/11,2/16/11,Feb,2/16/11 16:03,2/16/11 16:45,0 days 00:00:00.000000000,1/17/11,2011,Jan,720623,40530.88817,99999,2009,2020,0,0.1,720623-99999-2011.gz,1.247715248,1.338983051,0.315895372,0,2.124386724,2.248775895,2.218108652,0,69.12951496,65.84123911,58.48289738,0,0,0,0,0,0.134005827
44714,LEANORD ROAD,2,B,Debris Burning,35.8667,-80.25,NC,11/7/01,,Nov,,,,10/8/01,2001,Oct,722079,10687.85383,53888,1973,2005,15,0.1,File Not Found,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117907033
44731,,0.8,B,Miscellaneous,34.82167,-80.23833,NC,7/11/09,,Jul,,,,6/11/09,2009,Jun,725294,26576.7004,99999,1973,2020,16,0.1,725294-00383-2009.gz,25.65963432,25.75901328,24.52217742,26.02276952,1.135864979,1.174952562,0.933467742,1.556366171,66.63641553,63.48643006,69.0548926,69.39741428,16.6,0,0,44.8,0.118443286
44763,WHATS GOING ON FIRE,5,B,Arson,34.275,-78.7783,NC,4/10/99,,Apr,,,,3/11/99,1999,Mar,747915,51117.1663,99999,1941,2020,16,0.1,747915-93718-1999.gz,15.55392157,17.49514563,20.47126437,19.94578313,4.235872236,4.299029126,4.506896552,4.381873112,64.73121387,66.98882682,72.62903226,65.09666667,0,0,0,0,0.105936302
44789,,2.5,B,Missing/Undefined,34.97761,-79.14214,NC,5/19/07,,May,,,,4/19/07,2007,Apr,723035,23669.63095,99999,1937,2020,16,0.1,723035-93740-2007.gz,19.54592511,18.69130435,19.25860656,22.96362587,4.047577093,3.988657845,3.481967213,2.977367206,63.89210234,71.825,72.34710744,65.98612717,23,22.5,19.9,87.6,0.108685801
